Order_505	accession	percentage_actg	PubmedID	Country	CountryCleaned	VirusType	SamplingDate	CountryCode	Continent	Country_regions	M49_code	Host	Host2	GenomeLength	SamplingDate_formatted	SamplingYear	Country_formatted	fasta_id	In_dataset437	Order_437	rhierbaps_level1_505	rhierbaps_level2_505	rhierbaps_level1_437	rhierbaps_level2_437	accession	NAMING_PROPOSAL
35	KY785430	82.83	28538734	Jamaica	Jamaica	Asian	28/09/2016	JM	NAM	Caribbean	388	Human	Homo_sapiens	10364	2016-09-28	2016	Jamaica	KY785430_Jamaica_2016-09-28	yes	294	1	2	2	5	KY785430	ZB.2.2
36	KU940227	83.21	27448188	Brazil:_Bahia	Brazil	Asian	15/07/2015	BR	SA	South America	76	Human	Homo_sapiens	10551	2015-07-15	2015	Brazil	KU940227_Brazil_2015-07-15	yes	36	1	1	1	2	KU940227	ZB.2.0
37	MF801380	83.33	29805095	Guatemala	Guatemala	Asian	11/04/2016	GT	NAM	Central America	320	Human	Homo_sapiens	10665	2016-04-11	2016	Guatemala	MF801380_Guatemala_2016-04-11	yes	357	1	1	1	1	MF801380	ZB.2.1
38	KY559010	84.33	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	19/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10310	2016-04-19	2016	Brazil	KY559010_Brazil_2016-04-19	yes	245	1	1	1	2	KY559010	ZB.2.0
39	KY014326	84.39	28538734	USA:_Florida	USA	Asian	05/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10365	2016-08-05	2016	USA	KY014326_USA_2016-08-05	yes	128	1	2	2	3	KY014326	ZB.2.2
40	Z02	85.09	NA	Brazil:_Amazonas	Brazil	Asian	15/12/2015	BR	SA	South America	76	Human	Homo_sapiens	10270	2015-12-15	2015	Brazil	Z02_Brazil_2015-12-15	yes	421	1	1	1	2	Z02	ZB.2.0
41	KY785412	86.58	28538734	USA:_Florida	USA	Asian	22/07/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10599	2016-07-22	2016	USA	KY785412_USA_2016-07-22	yes	280	1	2	2	3	KY785412	ZB.2.2
42	MF801399	86.78	29805095	Mexico:_Chiapas	Mexico	Asian	20/05/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10274	2016-05-20	2016	Mexico	MF801399_Mexico_2016-05-20	yes	372	1	1	1	1	MF801399	ZB.2.1
43	KY559025	86.88	28538727	Brazil:_Rio_de_janeiro	Brazil	Asian	15/01/2016	BR	SA	South America	76	Human	Homo_sapiens	10010	2016-01-15	2016	Brazil	KY559025_Brazil_2016-01-15	yes	257	1	1	1	2	KY559025	ZB.2.0
44	MH063263	87.4	NA	Cuba	Cuba	Asian	05/08/2017	CU	NAM	Caribbean	192	Human	Homo_sapiens	10098	2017-08-05	2017	Cuba	MH063263_Cuba_2017-08-05	yes	405	1	1	1	1	MH063263	ZB.2.1
45	KY785437	88.7	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	14/03/2016	BR	SA	South America	76	Human	Homo_sapiens	10366	2016-03-14	2016	Brazil	KY785437_Brazil_2016-03-14	yes	298	1	1	1	2	KY785437	ZB.2.0
46	KY559032	88.84	28538727	Brazil:_Rio_de_Janeiro	Brazil	Asian	2016-01	BR	SA	South America	76	Human	Homo_sapiens	10353	2016-01	2016	Brazil	KY559032_Brazil_2016-01	yes	260	1	1	1	2	KY559032	ZB.2.0
47	KY014313	89.36	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	05/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10366	2016-04-05	2016	Brazil	KY014313_Brazil_2016-04-05	yes	120	1	1	1	2	KY014313	ZB.2.0
48	KY559031	89.44	28538727	Brazil:_Rio_de_Janeiro	Brazil	Asian	2016-01	BR	SA	South America	76	Human	Homo_sapiens	10353	2016-01	2016	Brazil	KY559031_Brazil_2016-01	yes	259	1	1	1	2	KY559031	ZB.2.0
49	KX447521	89.61	27729507	French_Polynesia:_Tahiti	French_Polynesia	Asian	2014-02	PF	OC	Polynesia	258	Human	Homo_sapiens	9358	2014-02	2014	FrenchPolynesia	KX447521_FrenchPolynesia_2014-02	yes	433	1	1	1	2	KX447521	ZB.2.0
50	KY785424	90.36	28538734	Jamaica	Jamaica	Asian	10/07/2016	JM	NAM	Caribbean	388	Human	Homo_sapiens	10360	2016-07-10	2016	Jamaica	KY785424_Jamaica_2016-07-10	yes	289	1	2	2	5	KY785424	ZB.2.2
51	KY765319	90.68	NA	Nicaragua:_Managua	Nicaragua	Asian	29/05/2016	NI	NAM	Central America	558	Human	Homo_sapiens;_M;_8_years	10628	2016-05-29	2016	Nicaragua	KY765319_Nicaragua_2016-05-29	yes	275	1	1	1	1	KY765319	ZB.2.1
52	MH763832	90.74	NA	Brazil	Brazil	Asian	2016-04	BR	SA	South America	76	Human	Homo_sapiens	10668	2016-04	2016	Brazil	MH763832_Brazil_2016-04	yes	410	1	1	1	2	MH763832	ZB.2.0
53	KY559011	90.93	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	19/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10310	2016-04-19	2016	Brazil	KY559011_Brazil_2016-04-19	yes	246	1	1	1	2	KY559011	ZB.2.0
54	KX447520	91.15	27729507	French_Polynesia:_Tahiti	French_Polynesia	Asian	2014-01	PF	OC	Polynesia	258	Human	Homo_sapiens	9725	2014-01	2014	FrenchPolynesia	KX447520_FrenchPolynesia_2014-01	yes	434	1	1	1	2	KX447520	ZB.2.0
55	KY785425	91.31	28538734	Dominican_Republic:_Distrito_Nacional	Dominican Republic	Asian	04/04/2016	DO	NAM	Caribbean	214	Human	Homo_sapiens	10035	2016-04-04	2016	DominicanRepublic	KY785425_DominicanRepublic_2016-04-04	yes	290	1	2	2	5	KY785425	ZB.2.2
56	KY785414	91.72	28538734	Honduras:_Francisco_Morazan	Honduras	Asian	28/05/2016	HN	NAM	Central America	340	Human	Homo_sapiens	10347	2016-05-28	2016	Honduras	KY785414_Honduras_2016-05-28	yes	282	1	1	1	1	KY785414	ZB.2.1
57	KY559018	92.06	28538727	Brazil:_Porto_Nacional_Tocantins	Brazil	Asian	25/02/2016	BR	SA	South America	76	Human	Homo_sapiens	10309	2016-02-25	2016	Brazil	KY559018_Brazil_2016-02-25	yes	252	1	1	1	2	KY559018	ZB.2.0
58	KY559024	92.13	28538727	Brazil:_Palmas_Tocantins	Brazil	Asian	03/03/2016	BR	SA	South America	76	Human	Homo_sapiens	10565	2016-03-03	2016	Brazil	KY559024_Brazil_2016-03-03	yes	256	1	1	1	2	KY559024	ZB.2.0
59	KY559019	92.14	28538727	Brazil:_Araguaina_Tocantins	Brazil	Asian	24/05/2016	BR	SA	South America	76	Human	Homo_sapiens	10309	2016-05-24	2016	Brazil	KY559019_Brazil_2016-05-24	yes	253	1	1	1	2	KY559019	ZB.2.0
60	KY785480	92.66	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	30/03/2016	BR	SA	South America	76	Human	Homo_sapiens	10123	2016-03-30	2016	Brazil	KY785480_Brazil_2016-03-30	yes	322	1	1	1	2	KY785480	ZB.2.0
61	KY559017	93.15	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	19/05/2016	BR	SA	South America	76	Human	Homo_sapiens	10309	2016-05-19	2016	Brazil	KY559017_Brazil_2016-05-19	yes	251	1	1	1	2	KY559017	ZB.2.0
62	MF434518	93.41	29805095	Nicaragua:_Managua	Nicaragua	Asian	26/08/2016	NI	NAM	Central America	558	Human	Homo_sapiens	10675	2016-08-26	2016	Nicaragua	MF434518_Nicaragua_2016-08-26	yes	347	1	1	1	1	MF434518	ZB.2.1
63	KY785470	93.53	28538734	Dominican_Republic	Dominican Republic	Asian	18/06/2016	DO	NAM	Caribbean	214	Human	Homo_sapiens	10361	2016-06-18	2016	DominicanRepublic	KY785470_DominicanRepublic_2016-06-18	yes	317	1	2	2	5	KY785470	ZB.2.2
64	KY785462	93.84	28538734	Puerto_Rico	Puerto Rico	Asian	26/06/2016	PR	NAM	Caribbean	630	Human	Homo_sapiens	10456	2016-06-26	2016	PuertoRico	KY785462_PuertoRico_2016-06-26	yes	311	1	1	1	2	KY785462	ZB.2.0
65	KY559023	93.85	28538727	Brazil:_Palmas_Tocantins	Brazil	Asian	22/03/2016	BR	SA	South America	76	Human	Homo_sapiens	10520	2016-03-22	2016	Brazil	KY559023_Brazil_2016-03-22	yes	255	1	1	1	2	KY559023	ZB.2.0
66	MF801411	94.08	29805095	Mexico:_Guerrero	Mexico	Asian	05/07/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10190	2016-07-05	2016	Mexico	MF801411_Mexico_2016-07-05	yes	382	1	1	1	1	MF801411	ZB.2.1
67	KY559006	94.15	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	18/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10565	2016-04-18	2016	Brazil	KY559006_Brazil_2016-04-18	yes	242	1	1	1	2	KY559006	ZB.2.0
68	MF801400	94.81	29805095	Mexico:_Chiapas	Mexico	Asian	20/05/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10307	2016-05-20	2016	Mexico	MF801400_Mexico_2016-05-20	yes	373	1	1	1	1	MF801400	ZB.2.1
69	KY559003	94.87	28538727	Brazil:_Arapiraca_Alagoas	Brazil	Asian	28/08/2015	BR	SA	South America	76	Human	Homo_sapiens	10310	2015-08-28	2015	Brazil	KY559003_Brazil_2015-08-28	yes	240	1	1	1	2	KY559003	ZB.2.0
70	KY785456	94.94	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	15/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10455	2016-04-15	2016	Brazil	KY785456_Brazil_2016-04-15	yes	309	1	1	1	2	KY785456	ZB.2.0
71	MF801423	94.97	29805095	Mexico:_Guerrero	Mexico	Asian	30/06/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10640	2016-06-30	2016	Mexico	MF801423_Mexico_2016-06-30	yes	391	1	1	1	1	MF801423	ZB.2.1
72	KY014298	95.11	28538734	USA:_Florida	USA	Asian	05/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10364	2016-08-05	2016	USA	KY014298_USA_2016-08-05	yes	108	1	2	2	4	KY014298	ZB.2.2
73	KY606274	95.22	29805095	Mexico:_Guerrero	Mexico	Asian	07/07/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10558	2016-07-07	2016	Mexico	KY606274_Mexico_2016-07-07	yes	264	1	1	1	1	KY606274	ZB.2.1
74	MF801401	95.24	29805095	Mexico:_Chiapas	Mexico	Asian	23/05/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10510	2016-05-23	2016	Mexico	MF801401_Mexico_2016-05-23	yes	374	1	1	1	1	MF801401	ZB.2.1
75	MF801389	95.28	29805095	Honduras:_Roatan	Honduras	Asian	10/05/2016	HN	NAM	Central America	340	Human	Homo_sapiens	10672	2016-05-10	2016	Honduras	MF801389_Honduras_2016-05-10	yes	365	1	1	1	1	MF801389	ZB.2.1
76	KY014309	95.37	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	28/03/2016	BR	SA	South America	76	Human	Homo_sapiens	10454	2016-03-28	2016	Brazil	KY014309_Brazil_2016-03-28	yes	117	1	1	1	2	KY014309	ZB.2.0
77	KY785429	95.4	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	14/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10455	2016-04-14	2016	Brazil	KY785429_Brazil_2016-04-14	yes	293	1	1	1	2	KY785429	ZB.2.0
78	MK238038	95.42	30703541	India	India	Asian	15/10/2018	IN	AS	Southern Asia	356	Human	Homo_sapiens	10708	2018-10-15	2018	India	MK238038_India_2018-10-15	yes	414	2	4	4	10	MK238038	ZB.1.1
79	KY558995	95.6	28538727	Brazil:_Paulista_Pernambuco	Brazil	Asian	13/05/2015	BR	SA	South America	76	Human	Homo_sapiens	10022	2015-05-13	2015	Brazil	KY558995_Brazil_2015-05-13	yes	236	1	1	1	2	KY558995	ZB.2.0
80	KY558989	95.63	28538727	Brazil:_Joao_Camara_Rio_Grande_do_Norte	Brazil	Asian	23/02/2015	BR	SA	South America	76	Human	Homo_sapiens	10022	2015-02-23	2015	Brazil	KY558989_Brazil_2015-02-23	yes	235	1	1	1	2	KY558989	ZB.2.0
81	KY785459	95.74	28538734	USA	USA	Asian	15/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10341	2016-08-15	2016	USA	KY785459_USA_2016-08-15	yes	310	1	2	2	4	KY785459	ZB.2.2
82	MH063265	96.09	NA	Cuba	Cuba	Asian	17/07/2017	CU	NAM	Caribbean	192	Human	Homo_sapiens	10341	2017-07-17	2017	Cuba	MH063265_Cuba_2017-07-17	yes	407	1	1	1	1	MH063265	ZB.2.1
83	MF801383	96.36	29805095	Honduras	Honduras	Asian	03/06/2016	HN	NAM	Central America	340	Human	Homo_sapiens	10554	2016-06-03	2016	Honduras	MF801383_Honduras_2016-06-03	yes	360	1	1	1	1	MF801383	ZB.2.1
84	MH513598	96.48	NA	Brazil:_Sinop	Brazil	Asian	09/12/2015	BR	SA	South America	76	Human	Homo_sapiens	10640	2015-12-09	2015	Brazil	MH513598_Brazil_2015-12-09	yes	420	1	1	1	2	MH513598	ZB.2.0
85	KY785433	96.73	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	08/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10366	2016-04-08	2016	Brazil	KY785433_Brazil_2016-04-08	yes	296	1	1	1	2	KY785433	ZB.2.0
86	MK238035	97.1	30703541	India	India	Asian	18/09/2018	IN	AS	Southern Asia	356	Human	Homo_sapiens	10674	2018-09-18	2018	India	MK238035_India_2018-09-18	yes	411	2	4	4	10	MK238035	ZB.1.1
87	KY558996	97.19	28538727	Brazil:_Paulista_Pernambuco	Brazil	Asian	13/05/2015	BR	SA	South America	76	Human	Homo_sapiens	10022	2015-05-13	2015	Brazil	KY558996_Brazil_2015-05-13	yes	237	1	1	1	2	KY558996	ZB.2.0
88	KY785465	97.25	28538734	Dominican_Republic:_Distrito_Nacional	Dominican Republic	Asian	07/04/2016	DO	NAM	Caribbean	214	Human	Homo_sapiens	10453	2016-04-07	2016	DominicanRepublic	KY785465_DominicanRepublic_2016-04-07	yes	313	1	2	2	5	KY785465	ZB.2.2
89	KY559012	97.45	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	19/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10565	2016-04-19	2016	Brazil	KY559012_Brazil_2016-04-19	yes	247	1	1	1	2	KY559012	ZB.2.0
90	MF098764	97.47	NA	Dominican_Republic	Dominican Republic	Asian	11/05/2016	DO	NAM	Caribbean	214	Human	Homo_sapiens	10076	2016-05-11	2016	DominicanRepublic	MF098764_DominicanRepublic_2016-05-11	yes	333	1	2	2	5	MF098764	ZB.2.2
91	MF098765	97.47	NA	Dominican_Republic	Dominican Republic	Asian	23/05/2016	DO	NAM	Caribbean	214	Human	Homo_sapiens	10076	2016-05-23	2016	DominicanRepublic	MF098765_DominicanRepublic_2016-05-23	yes	334	1	2	2	5	MF098765	ZB.2.2
92	KY559021	97.61	28538727	Brazil:_Palmas_Tocantins	Brazil	Asian	10/03/2016	BR	SA	South America	76	Human	Homo_sapiens	10306	2016-03-10	2016	Brazil	KY559021_Brazil_2016-03-10	yes	254	1	1	1	2	KY559021	ZB.2.0
93	KY785419	97.63	28538734	Jamaica	Jamaica	Asian	13/06/2016	JM	NAM	Caribbean	388	Human	Homo_sapiens	10599	2016-06-13	2016	Jamaica	KY785419_Jamaica_2016-06-13	yes	285	1	2	2	5	KY785419	ZB.2.2
94	KY558990	97.67	28538727	Brazil:_Recife_Pernambuco	Brazil	Asian	15/01/2016	BR	SA	South America	76	Human	Homo_sapiens	8791	2016-01-15	2016	Brazil	KY558990_Brazil_2016-01-15	yes	423	1	1	1	2	KY558990	ZB.2.0
95	KY558992	97.67	28538727	Brazil:_Caetes_Pernambuco	Brazil	Asian	06/01/2016	BR	SA	South America	76	Human	Homo_sapiens	8791	2016-01-06	2016	Brazil	KY558992_Brazil_2016-01-06	yes	424	1	1	1	2	KY558992	ZB.2.0
96	KY558994	97.67	28538727	Brazil:_Limoeiro_Pernambuco	Brazil	Asian	18/01/2016	BR	SA	South America	76	Human	Homo_sapiens	8791	2016-01-18	2016	Brazil	KY558994_Brazil_2016-01-18	yes	425	1	1	1	2	KY558994	ZB.2.0
97	KY558998	97.67	28538727	Brazil:_Paulista_Pernambuco	Brazil	Asian	15/06/2015	BR	SA	South America	76	Human	Homo_sapiens	8791	2015-06-15	2015	Brazil	KY558998_Brazil_2015-06-15	yes	426	1	1	1	2	KY558998	ZB.2.0
98	KY559000	97.67	28538727	Brazil:_Paulista_Pernambuco	Brazil	Asian	09/08/2015	BR	SA	South America	76	Human	Homo_sapiens	8791	2015-08-09	2015	Brazil	KY559000_Brazil_2015-08-09	yes	427	1	1	1	2	KY559000	ZB.2.0
99	KY559002	97.67	28538727	Brazil:_Maceio_Alagoas	Brazil	Asian	09/09/2015	BR	SA	South America	76	Human	Homo_sapiens	8791	2015-09-09	2015	Brazil	KY559002_Brazil_2015-09-09	yes	428	1	1	1	2	KY559002	ZB.2.0
100	KY559016	97.67	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	25/04/2016	BR	SA	South America	76	Human	Homo_sapiens	8791	2016-04-25	2016	Brazil	KY559016_Brazil_2016-04-25	yes	429	1	1	1	2	KY559016	ZB.2.0
101	KY559020	97.67	28538727	Brazil:_Palmas_Tocantins	Brazil	Asian	07/03/2016	BR	SA	South America	76	Human	Homo_sapiens	8791	2016-03-07	2016	Brazil	KY559020_Brazil_2016-03-07	yes	430	1	1	1	2	KY559020	ZB.2.0
102	KY559022	97.67	28538727	Brazil:_Palmas_Tocantins	Brazil	Asian	13/03/2016	BR	SA	South America	76	Human	Homo_sapiens	8791	2016-03-13	2016	Brazil	KY559022_Brazil_2016-03-13	yes	431	1	1	1	2	KY559022	ZB.2.0
103	KY559027	97.67	28538727	Brazil:_Rio_de_Janeiro	Brazil	Asian	16/02/2016	BR	SA	South America	76	Human	Homo_sapiens	8791	2016-02-16	2016	Brazil	KY559027_Brazil_2016-02-16	yes	432	1	1	1	2	KY559027	ZB.2.0
104	MF098767	97.72	NA	Saint_Barthélemy	Saint Barthélemy	Asian	25/07/2016	BL	NAM	Caribbean	652	Human	Homo_sapiens	10102	2016-07-25	2016	SaintBarthélemy	MF098767_SaintBarthélemy_2016-07-25	yes	336	1	1	1	2	MF098767	ZB.2.0
